class,name
732103,Giloszer poligraficzny
732106,Moletownik
732109,Operator fotoskładu
732112,Rytownik
751501,Grzyboznawca
752103,Mygłowacz
752104,Parzelniczy drewna
752201,Bednarz
752203,Kołodziej
753701,Bandażysta ortopedyczny
754101,Kierownik prac podwodnych
754104,Operator systemów nurkowych
754490,Pozostali robotnicy zwalczania szkodników i chwastów
811112,Górnik podziemnej eksploatacji kopalin innych niż węgiel kamiennyS
811113,Operator systemów odwadniających
813113,Operator urządzeń do produkcji dezynfektantów
821101,Monter aparatów i przyrządów optycznych
821907,Składacz sprzętu spadochronowego
831206,Manewrowy metra
834308,Operator mostu zwodzonego
835002,Latarnik
921502,Pomocniczy robotnik w łowiectwie
933101,Rykszarz
933201,Dorożkarz
951001,Czyściciel butów
951004,Uliczny zmywacz szyb samochodowych
